0,我的意中人是个孤儿 终有一天他会转起来五杀，我猜中了前头，却没猜中他被vac了
1,开始的时候是需要的，后来就不需要了。
2,你在说什么？？ 我承认提莫唱歌是不错，可她觉得没有这种感觉，没有那种沉淀
3,[cp]“我的意中人是个盖世英雄 不求他脚踏七彩祥云 身披金甲战衣 只愿他一生自由 不戴金箍不像狗”
4,有这句话？
5,"可是我怎么会爱上一个我讨厌的人呢？
爱一个人需要理由吗？
不需要吗？
需要吗？
不需要吗？"
6,冯提莫是？
7,有些不知道该怎么去爱……本来好好的，怎么就成了现在的样子？或许自己还是不懂爱吧……只有不去爱，才不会受伤害。
8,没得冯提莫唱的好
9,2018年，五味杂陈
10,听几回难受几回，但是只是难受，脑子一片空白，快过年了，越来越空虚寂寞冷，希望你们不要这样，都能过下去，一辈子的过下去。
11,感情是相对的，自己也想想问题，不要主管，客观点，然后总结，然后失望。人生路漫漫，往前走，少回头，一个人又怎么样呢，自己挣钱养活自己，觉得孤独养只猫，就好了。[可爱]
12,四角恋完毕
13,一曲终了
14,你，你……
15,"你的意中人是个盖世垃圾
每天穿着拖鞋
去网吧吃鸡"
16,没能牵住她的手是我这一生中犯下最大的错，无论是在天涯海角还是近在眼前，她都是我心中最深的思念最深的痛。爱你雪霞
17,294 看到找我好嘛！
18,现在是2019.2.1    23：58分 就让这首歌陪我过度到我18岁生日吧  毕竟这首歌对我意义最大
19,对不起 我还是哭了
20,你的盖世英雄一定会踩着七彩祥云去娶你，我知道这个人不是我。别哭了，会好起来的
21,好像那个人忘了，也好像现在想起来还是会难受
22,希望以后还能是你 zss
23,宝贝老婆，我其实真的很爱你，很爱很爱。刚开始就像猴子不懂自己，其实他真的很爱紫霞。幸好，我不是猴子，我还能爱你，你也刚好还在。我会忍受你的小脾气，好好的宠你。MYJ，我爱你
24,你们这些小屁孩，都说听到什么什么歌就想哭，天天哪里那么多情了爱了苦了累了，像我听歌就从来都不敢开声音，专看你们评论[大哭]
25,去吧去吧去吧，加油呢，将来可不能背叛人家啊！
26,想听只有吉他的版本
27,狗[狗]，单身狗的狗[流泪][流泪]
28,真羡慕你还有机会
29,[难过]小祖宗 没关系 如果最后能在一起 晚点也没关系
30,[难过]小祖宗 没关系 如果最后能在一起 晚点也没关系 
31,高一时候，他转到我们班，成了我的同学，也成了我的初恋，然后他高三上班，我决心大学毕业后留在同一个城市工作然后结婚，一切看起来顺利又完美…去年我们恋爱两周年，他出轨了找了别人，我流产了…今年我们恋爱三周年，他后悔想回来了可依然微信聊着别人一切都回不去了我分手了💔大学等着我
32,谢罪
33,开始终结总是没变改 听着好难过
34,其实我没有拖延症，快递一拿到我就会拆，闹钟一响我就会按，零食一开我就会吃，你一出现我就会笑。
35,这啥破前奏?
36,富恒放弃爱恨
37,可惜
38,多巴胺
39,520别再点赞
40,还是影视版有感觉
41,相亲竟不可接近，或我应该相信是缘分💔
42,也就是他能唱出这死了老婆的悲凉了[大哭]
43,怎么可以 放弃呢那个你曾经最爱的人啊
44,也有可能是不甘心，但我们自己也分不清
45,我一生所爱的是什么，我还在寻找。
46,你说过。。。你最喜欢台词就是那一句。。。。你知不知道。。。那句话。。。我想对你说。。。。
47,加油侬
48,说一生未免太长，只是爱了很久，多想找个人代替你，可是夜夜失眠里，反反复复想的人还是你
49,哇！大佬    懂了
50,有时候无奈的抉择是多么的痛苦
51,无论重来多少次人生都是有遗憾的
52,加油
53,加油，嗷，兄弟，人生还长
54,那内个结局是你们两个都不能接受的  你还愿意嘛
